,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
67,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.231,DC,,,,,Solon,"TOPSC - Bldg 6,7",Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
68,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.270,DC,,,,,Solon,Fire Maintenance,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
69,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2020,,Solar,On-site,0.298,DC,,,,,Solon,SEPS,Tucson,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
70,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.318,DC,,,,,Solon,Adaptive Rec Center,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
71,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.324,DC,,,,,Solon,TOPSC - CNG 2,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
72,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.340,DC,,,,,Solon,Well SA-009A,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
73,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.348,DC,,,,,Solon,Well SA-014A,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
74,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.351,DC,,,,,Solon,Randolph Golf Course,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
75,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.352,DC,,,,,Solon,Well SA-011A,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
76,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.361,DC,,,,,Solon,Well SA-015A,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
77,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.371,DC,,,,,Solon,Sun Van on Ajo,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
78,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.374,DC,,,,,Solon,Quincie Douglas Park,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
79,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2020,,Solar,On-site,0.397,DC,,,,,Solon,TOPSC - Bldg 2,Tucson,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
80,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.405,DC,,,,,Solon,Clements Center,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
81,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.416,DC,,,,,Solon,Reid Park,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
82,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.515,DC,,,,,Solon,TOPSC - Bldg 10,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
83,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.630,DC,,,,,Solon,Westside Police Substation,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
84,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.640,DC,,,,,Solon,Regional Public Safety Training Academy,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
85,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.691,DC,,,,,Solon,EPIC (Two Meters),Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
86,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2019,,Solar,On-site,0.789,DC,,,,,Solon,Crime Lab,Tucson,Arizona,2019,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
87,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2020,,Solar,On-site,0.934,DC,,,,,Solon,Columbus Park - Well,Tucson,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
88,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,1.121,DC,,,,,Solon,Devine Reservoir,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
89,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2020,,Solar,On-site,1.295,DC,,,,,Solon,Sun Tran / NW Bus,Tucson,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
90,Utah Associated Municipal Power Systems,Arizona,33.5453845,-111.88526,Southwest,2019,2019,08/08/2019,Solar,Off-site Physical PPA,66.000,,25,23.15,Utah Associated Municipal Power Systems (UAMPS),Joint Action Agency,,Red Mesa Tapaha Solar Generation Plant,Red Mesa,Arizona,2022,,https://ieefa.org/navajo-nation-moving-forward-with-two-solar-projects-totaling-270mw-of-capacity/,https://apnews.com/article/arizona-coronavirus-pandemic-utilities-2655735c217ec623691a6bd496e0c44a?,https://www.ntua.com/assets/red-mesa-tapaha-solar-facility---progress-creates-benefits--.pdf,https://www.heraldextra.com/sanpete-county/news/uamps-members-add-solar-energy-to-resource-mix/article_e2617d24-484d-580b-8098-c2f71b6ae617.html,,,,,,,,,,,,,,,,,,,,
91,Winterhaven,Arizona,32.7365995,-114.6395374,Southwest,,2017,,Solar,On-site,0.308,DC,,,,,Solon,Fort Yuma Health Center,Winterhaven,Arizona,2017,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
92,Yuma,Arizona,32.665135,-114.4760316,Southwest,,2016,,Solar,On-site,0.300,DC,,,,,Solon,Town Hall solar array,Yuma,Arizona,2016,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
93,Yuma County,Arizona,40.0163487,-102.458253,Southwest,,2021,,Solar,On-site,1.989,DC,,,,,Solon,6 projects,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
94,Alma,Arkansas,35.4778653,-94.221875,SPP,2019,2019,12/15/2019,Solar,On-site,0.520,DC,25,,Arkansas Valley Electric Cooperative,Cooperative,Entegrity,Alma Wastewater Treatment Facility Solar Array Phase I,Alma,Arkansas,2021,900,https://www.arkansasonline.com/news/2020/jan/06/in-alma-solar-idea-is-moving-forward-20-1/,https://www.nwaonline.com/news/2021/feb/06/alma-celebrates-new-solar-array-for-wastewater/,https://www.arkansasonline.com/news/2021/feb/07/alma-flips-switch-on-phase-1-of-new-solar-array/,https://entegritypartners.com/newsroom/the-city-of-alma-and-entegrity-flip-the-switch-on-solar/,https://www.pressargus.com/story/news/2021/05/25/alma-city-council-discusses-continuation-solar-power-project/5210069001/,,,,,,,,,,,,,,,,,,,
95,Alma,Arkansas,35.4778653,-94.221875,SPP,2019,2019,12/15/2019,Solar,On-site,0.850,DC,25,,Arkansas Valley Electric Cooperative,Cooperative,Entegrity,Alma Wastewater Treatment Facility Solar Array Phase II,Alma,Arkansas,,"1,500",https://www.arkansasonline.com/news/2020/jan/06/in-alma-solar-idea-is-moving-forward-20-1/,https://www.nwaonline.com/news/2021/feb/06/alma-celebrates-new-solar-array-for-wastewater/,https://www.arkansasonline.com/news/2021/feb/07/alma-flips-switch-on-phase-1-of-new-solar-array/,https://entegritypartners.com/newsroom/the-city-of-alma-and-entegrity-flip-the-switch-on-solar/,https://www.pressargus.com/story/news/2021/05/25/alma-city-council-discusses-continuation-solar-power-project/5210069001/,,,,,,,,,,,,,,,,,,,
96,Batesville,Arkansas,35.769799,-91.640972,MISO,2021,2021,08/13/2021,Solar,On-site,0.125,,,,Entergy Arkansas,Investor-owned Utility,Entegrity Solar,Batesville Aquatics Park and Community Center solar array,Batesville,Arkansas,2021,,https://www.guardonline.com/news/city-mulls-downtown-entertainment-district/article_8d6e0736-58a0-5022-a338-20752a14d4c1.html,https://www.whiterivernow.com/2021/08/11/batesville-enters-agreement-with-entegrity-solar-downtown-entertainment-district-discussed/,,,,,,,,,,,,,,,,,,,,,,
97,Batesville,Arkansas,35.769799,-91.640972,MISO,2017,2017,,Solar,On-site,0.759,,,,Entergy Arkansas,Investor-owned Utility,Entegrity,Batesville School District solar project,Batesville School District,Arkansas,2019,,https://energynews.us/2020/10/16/this-arkansas-school-turned-solar-savings-into-better-teacher-pay/,https://generation180.org/brighter-future-2020-download/?submissionGuid=1bc2ff8f-396c-421b-ae76-8e1c2e8b1c55,https://generation180.org/batesville-ar-energy-savings-reap-investments-in-teacher-pay-and-education/,https://entegritypartners.com/projects/batesville-school-district/,,,,,,,,,,,,,,,,,,,,
98,Batesville,Arkansas,35.769799,-91.640972,MISO,2021,2021,08/13/2021,Solar,On-site,6.125,,,,Entergy Arkansas,Investor-owned Utility,Entegrity Solar,Batesville Waste Water Treatment facility floating solar array,Batesville,Arkansas,2022,"12,000",https://www.guardonline.com/news/city-mulls-downtown-entertainment-district/article_8d6e0736-58a0-5022-a338-20752a14d4c1.html,https://www.whiterivernow.com/2021/08/11/batesville-enters-agreement-with-entegrity-solar-downtown-entertainment-district-discussed/,,,,,,,,,,,,,,,,,,,,,,
99,Clarksville,Arkansas,35.4714724,-93.466573,SPP,,2020,,Solar,Off-site Physical PPA,2.860,DC,,,Clarksville Connected Utilities ,Municipal Utility,Scenic Hill Solar,Clarksville Phase 2 Solar Power Plant,Clarksville,Arkansas,2020,"4,400",https://www.swtimes.com/story/news/2020/10/11/city-of-clarksville-to-utilize-solarize-energy/114259336/,https://talkbusiness.net/2020/09/clarksville-city-government-powered-by-100-solar-energy/,,,,,,,,,,,,,,,,,,,,,,
100,Clarksville,Arkansas,35.4714724,-93.466573,SPP,2017,2017,,Solar,Off-site Physical PPA,6.500,DC,,,Clarksville Connected Utilities ,Municipal Utility,Scenic Hill Solar,Clarksville Phase 1 Solar Power Plant,Clarksville,Arkansas,2017,"11,000",https://www.swtimes.com/story/news/2020/10/11/city-of-clarksville-to-utilize-solarize-energy/114259336/,https://talkbusiness.net/2020/09/clarksville-city-government-powered-by-100-solar-energy/,,,,,,,,,,,,,,,,,,,,,,
101,Fayetteville,Arkansas,36.0625843,-94.157433,SPP,2016,2016,06/17/2016,Solar,Community Solar,0.040,AC,25,40,Fayetteville PUC,Municipal Utility,Ozarks Electric Cooperative,Ozarks Natural Energy,Fayetteville,Arkansas,2016,54,http://www.fayetteville-ar.gov/CivicSend/ViewMessage/message?id=21117,,,,,,,,,,,,,,,,,,,,,,,
102,Fayetteville,Arkansas,36.0625843,-94.157433,SPP,2018,2018,11/20/2018,Solar,On-site,5.000,,20,48,Ozarks Electric Cooperative,Cooperative,Today's Power Inc,Fayetteville's Wastewater Treatment Facilities solar array project,Fayetteville,Arkansas,2019,"18,300",http://www.fayetteville-ar.gov/3536/Solar-Array-Project,,,,,,,,,,,,,,,,,,,,,,,
103,Greenwood,Arkansas,35.2156489,-94.255766,SPP,2021,2021,01/11/2021,Solar,On-site,0.200,DC,30,,Southwestern Electric Power Company (SWEPCO),Investor-owned Utility,Scenic Hill Solar,"Second solar facility that will power City Hall, the police and fire departments and the water plant, as well as the shop buildings for the water, wastewater and street departments in the Southwestern Electric Power Co. service territory",Greenwood,Arkansas,2021,,https://talkbusiness.net/2021/01/greenwood-partners-with-scenic-hill-solar-on-two-solar-plants/,https://www.scenichillsolar.com/news/post/63/city-of-greenwood-white-county-schools-join-solar-bandwagon,https://www.arkansasonline.com/news/2021/dec/26/greenwood-sebastian-county-develop-solar-power/,,,,,,,,,,,,,,,,,,,,,
104,Greenwood,Arkansas,35.2156489,-94.255766,SPP,2021,2021,01/11/2021,Solar,On-site,0.750,DC,30,,Arkansas Valley Electric Cooperative,Cooperative,Scenic Hill Solar,First solar facility on city-owned property at 606 Jayhawker Lane,Greenwood,Arkansas,2021,,https://talkbusiness.net/2021/01/greenwood-partners-with-scenic-hill-solar-on-two-solar-plants/,https://www.scenichillsolar.com/news/post/63/city-of-greenwood-white-county-schools-join-solar-bandwagon,https://www.arkansasonline.com/news/2021/dec/26/greenwood-sebastian-county-develop-solar-power/,,,,,,,,,,,,,,,,,,,,,
105,Independence County,Arkansas,35.718344,-91.55326,MISO,2020,2020,01/01/2020,Solar,On-site,1.360,,20,,,,Entegrity Partners,Cedar Ridge Schools (CRS) and Midland School District (MSD) shared solar array,Independence County,Arkansas,2021,,https://www.kffb.com/cedar-ridge-and-midland-schools-of-north-central-arkansas-saving-hundreds-of-thousands-of-taxpayer-dollars-with-solar-energy-2/,https://www.kait8.com/2021/01/16/schools-partner-solar-project-use-sheep-maintain-fields/,https://www.solarpowerworldonline.com/2021/01/entegrity-completes-1-36-mw-solar-array-for-arkansas-school-districts-that-will-use-sheep-for-maintenance/,,,,,,,,,,,,,,,,,,,,,
106,Jefferson County,Arkansas,34.2711667,-91.924831,MISO,,2019,,Solar,On-site,0.176,,20,,Entergy,Investor-owned Utility,Seal Solar,,Pine Bluff,Arkansas,2019,250,https://www.arkansasonline.com/news/2019/aug/21/jefferson-county-flips-switch-on-solar-/,,,,,,,,,,,,,,,,,,,,,,,
107,Lincoln,Arkansas,33.9359663,-91.771327,SPP,2020,2020,10/31/2020,Solar,Off-site Physical PPA,0.198,,20,,Southwestern Electric Power Company (SWEPCO),Cooperative,Today's Power,Ozarks Natural Energy solar park,Lincoln City,Arkansas,2021,278,https://www.arkansasonline.com/news/2020/oct/31/lincoln-council-oks-solar-power-proposal/,https://www.nwaonline.com/news/2020/oct/31/lincoln-council-oks-solar-power-proposal/?news-arkansas-nwa,,,,,,,,,,,,,,,,,,,,,,
108,Paragould,Arkansas,36.0584021,-90.497329,MISO,2020,2020,08/25/2020,Solar,Off-site Physical PPA,1.440,,,,Paragould Light Water and Cable,Municipal Utility,Evergy Energy Partners,Solar array in northeastern Arkansas,,Arkansas,2021,,https://www.bizjournals.com/kansascity/news/2020/08/25/evergy-energy-partners-paragould-arkansas-solar.html,https://www.kait8.com/2021/01/06/work-underway-construction-site-new-solar-plant/,,,,,,,,,,,,,,,,,,,,,,
109,Paris,Arkansas,35.2920325,-93.729917,SPP,2020,2020,08/12/2020,Solar,Off-site Physical PPA,1.500,,20,,Arkansas Valley Electric Cooperative,Cooperative,"Today's Power, Inc (TPI)",,Paris,Arkansas,2020,"2,830",https://www.paris-express.com/news/20200812/city-holds-flip-switch-event-at-solar-power-plant,,,,,,,,,,,,,,,,,,,,,,,
110,Pulaski County,Arkansas,37.2314232,-89.1183427,MISO,2019,2019,10/10/2019,Solar,On-site,0.250,,20,49,Arkansas Electric Cooperatives (AECI),Cooperative,Today's Power Inc.,Pulaski County Detention Center Solar Project,Little Rock,Arkansas,2021,,https://www.pressreader.com/usa/northwest-arkansas-democrat-gazette/20210926/282033330346512,http://www.todayspower.com/tpiblog/2019/10/10/pulaski-county-expands-green-initiatives-to-maximize-savings-and-conserive-energy,https://pulaskicounty.net/pulaski-county-maximize-savings-and-conserves-energy-with-completed-solar-project-at-pulaski-county-detention-center/,,,,,,,,,,,,,,,,,,,,,
111,Pulaski County,Arkansas,37.2314232,-89.1183427,MISO,2019,2019,10/10/2019,Solar,On-site,4.625,,20,49.00,Arkansas Electric Cooperatives (AECI),Cooperative,Today's Power Inc.,Little Rock Port Industrial Park Solar Project,Little Rock,Arkansas,2022,,https://www.pressreader.com/usa/northwest-arkansas-democrat-gazette/20210926/282033330346512,http://www.todayspower.com/tpiblog/2019/10/10/pulaski-county-expands-green-initiatives-to-maximize-savings-and-conserive-energy,https://pulaskicounty.net/pulaski-county-maximize-savings-and-conserves-energy-with-completed-solar-project-at-pulaski-county-detention-center/,,,,,,,,,,,,,,,,,,,,,
112,Rogers,Arkansas,36.3320197,-94.1185366,SPP,2021,2021,11/03/2021,Solar,On-site,0.548,,30,,,,Johnson Controls,Rogers Police Department Solar PV,Rogers,Arkansas,2023,,https://rogersar.civicclerk.com/Web/Player.aspx?id=342&key=-1&mod=-1&mk=-1&nov=0,https://www.arkansasonline.com/news/2021/nov/04/rogers-approves-solar-project-would-be-first/,https://www.rogersar.gov/138/Helpful-Resources,,,,,,,,,,,,,,,,,,,,,
113,Rogers,Arkansas,36.3320197,-94.1185366,SPP,2021,2021,11/03/2021,Solar,On-site,1.775,,30,,,,Johnson Controls,Rogers Fire Station #8 Solar PV,Rogers,Arkansas,2023,,https://rogersar.civicclerk.com/Web/Player.aspx?id=342&key=-1&mod=-1&mk=-1&nov=0,https://www.arkansasonline.com/news/2021/nov/04/rogers-approves-solar-project-would-be-first/,https://www.rogersar.gov/138/Helpful-Resources,,,,,,,,,,,,,,,,,,,,,
114,Rogers,Arkansas,36.3320197,-94.1185366,SPP,2021,2021,11/03/2021,Solar,On-site,2.290,,30,,,,Johnson Controls,Rogers Recycling Center Solar PV,Rogers,Arkansas,2023,,https://rogersar.civicclerk.com/Web/Player.aspx?id=342&key=-1&mod=-1&mk=-1&nov=0,https://www.arkansasonline.com/news/2021/nov/04/rogers-approves-solar-project-would-be-first/,https://www.rogersar.gov/138/Helpful-Resources,,,,,,,,,,,,,,,,,,,,,
115,Saline County,Arkansas,34.6021249,-92.6542869,MISO,2022,2022,06/16/2022,Solar,On-site,0.667,,30,,Benton Utilities,Municipal Utility,Johnson Controls,Saline County Detention Center Solar,Benton,Arkansas,2022,,https://www.arkansasbusiness.com/article/140331/johnson-controls-helps-saline-county-go-solar,https://www.salinecounty.org/news_view?id=531,https://talkbusiness.net/2022/06/new-solar-arrays-underway-operational-throughout-state/,,,,,,,,,,,,,,,,,,,,,
116,Springdale,Arkansas,36.1867442,-94.128814,SPP,2021,2021,05/20/2021,Solar,On-site,2.380,,,,Ozarks Electric Cooperative,Cooperative,Today’s Power Inc. (TPI),Solar project in Springdale School District,Springdale,Arkansas,2022,,https://www.nwaonline.com/news/2021/aug/28/washington-county-planners-table-subdivision/,https://www.5newsonline.com/article/news/local/ozarks-electric-todays-power-springdale-public-schools-to-build-24-megawatt-array-arkansas/527-83a95caf-2fad-4b23-9be6-2c6cd626be24,https://www.armoneyandpolitics.com/ozarks-electric-springdale-schools-todays-power-new-solar-project/,,,,,,,,,,,,,,,,,,,,,
117,Springdale,Arkansas,36.1867442,-94.128814,SPP,2021,2021,06/20/2021,Solar,Community Solar,2.700,,20,55,Ozarks Electric Cooperative,Cooperative,"Today’s Power, Inc",Ozarks Natural Energy solar park on 25 acres of land near Lincoln,Springdale,Arkansas,2021,"4,000",https://www.nwaonline.com/news/2021/jun/20/springdale-set-to-flip-switch-for-solar-energy/,http://www.todayspower.com/tpiblog/osp1,https://wcel.nwaonline.com/news/2021/feb/24/groundbreaking-held-for-new-solar-park-near/,,,,,,,,,,,,,,,,,,,,,
118,Washington County,Arkansas,35.9672625,-94.228066,SPP,2019,2019,06/09/2019,Solar,On-site,2.011,,,,Entergy,Investor-owned Utility,Seal Solar,,Washington County,Arkansas,2020,,"https://talkbusiness.net/2020/06/seal-solar-completes-2-megawatt-array-for-washington-county/#:~:text=The%20largest%20county%2Downed%20solar,south%20campus%20near%20Clydesdale%20Drive.",,,,,,,,,,,,,,,,,,,,,,,
119,White County,Arkansas,35.2463042,-91.716969,SPP,2021,2021,01/14/2021,Solar,On-site,0.681,DC,,,Entergy Arkansas,Investor-owned Utility,Scenic Hill Solar,White County Central School District Solar Array,Judsonia,Arkansas,,,https://armoneyandpolitics.com/scenic-hill-solar-developing-1-3-million-power-plant-for-white-county-central-school-district/,,,,,,,,,,,,,,,,,,,,,,,
120,Alameda County,California,37.6090291,-121.89914,California (CAISO),2015,2015,05/12/2015,Solar,On-site,3.000,DC,20,,Pacific Gas & Electric (PG&E),Investor-owned Utility,SunEdison,Regional Renewable Energy Procurement Program ,Alameda County,California,2015,,https://www.prnewswire.com/news-releases/sunedison-signs-agreement-with-alameda-county-for-additional-3-mw-of-solar-300081626.html,,,,,,,,,,,,,,,,,,,,,,,
121,Anaheim,California,33.8340292,-117.93349,California (CAISO),,2016,06/26/2016,Solar,Off-site Physical PPA,2.000,,25,,Anaheim Public Utilities,Municipal Utility,"CIM Group, Westside",Westlands Solar Park Pilot Project,Leemore,California,2016,"4,500",https://www.power-technology.com/projects/westlands-solar-park/,https://www.power-technology.com/news/cim-begins-construction-on-2-7gw-westlands-solar-park-in-us/,https://www.cimgroup.com/press-releases/westlands-solar-park-one-largest-permitted-solar-parks-world-and-largest-north,https://thebusinessjournal.com/westlands-solar-park-completes-first-demonstration-project/,,,,,,,,,,,,,,,,,,,,
122,Anaheim,California,33.8340292,-117.93349,California (CAISO),2018,2018,08/02/2018,Solar,Off-site Physical PPA,36.001,AC,25,,Southern California Public Power Authority (SCPPA),Joint Action Agency,EDF Renewables North America,Desert Harvest 2,Riverside County,California,2021,,https://www.edf-re.com/press-release/edf-renewables-north-america-announces-commercial-operations-at-desert-harvest-1-and-desert-harvest-2-solar-projects/,http://www.scppa.org/post/desert-harvest,https://www.publicpower.org/periodical/article/scppa-inks-25-year-ppa-solar-project-includes-storage,,,,,,,,,,,,,,,,,,,,,
123,Apple Valley Choice Energy [CCA],California,34.5008311,-117.18588,California (CAISO),2021,2021,,Wind,Off-site Physical PPA,2.000,,15,,Apple Valley Choice Energy [CCA],Community Choice Aggregation,,Duran Mesa Wind,,New Mexico,2021,,https://cal-cca.org/wp-content/uploads/2021/11/CCA-Clean-Energy-PPAs-November-2021-2.pdf,,,,,,,,,,,,,,,,,,,,,,,
124,Apple Valley Choice Energy [CCA],California,34.5008311,-117.18588,California (CAISO),2020,2020,11/12/2020,Wind,Off-site Physical PPA,4.600,,12,,Apple Valley Choice Energy [CCA],Community Choice Aggregation,"Terra-Gen, LLC",Voyager Wind IV Expansion,Kern,California,2021,,https://cal-cca.org/cca-renewable-energy-map-and-list-of-ppas/,https://www.govinfo.gov/content/pkg/FR-2020-09-21/pdf/2020-20765.pdf,https://www.cleanpowersf.org/news/2018/6/6/cleanpowersf-delivers-on-promise-to-invest-in-renewable-energy-projects-with-new-wind-solar-developments,,,,,,,,,,,,,,,,,,,,,
125,Apple Valley Choice Energy [CCA],California,34.5008311,-117.18588,California (CAISO),2019,2019,08/19/2019,Wind,Off-site Physical PPA,5.000,,10,,Apple Valley Choice Energy [CCA],Community Choice Aggregation,Avangrid Renewables,Mountain View III Wind Farm,Palm Springs,California,2003,"70,000",https://www.windpowerengineering.com/calchoice-enters-ppa-with-avangrid-renewables-for-california-wind-energy/,https://www.lancasterchoiceenergy.com/wp-content/uploads/2019/08/2019.8.19_CalChoice_MVIII-Press-Release.pdf,https://www.thewindpower.net/windfarm_en_2805_mountain-view-power-partners-iii.php,https://cal-cca.org/wp-content/uploads/2018/11/CCA-New-Renewable-PPAs-November-2019.pdf,,,,,,,,,,,,,,,,,,,,
126,Bakersfield,California,35.3738712,-119.01946,California (CAISO),2018,2018,03/13/2018,Solar,On-site,2.300,,,,Pacific Gas & Electric (PG&E),Investor-owned Utility,ForeFront Power,Bakersfield City School District (BCSD)'s School Project for Utililty Rate Reduction (SPURR) - Renewable Energy Aggregated Procurement (REAP) Program,Bakersfield,California,,,https://www.prnewswire.com/news-releases/renewable-repeat-bakersfield-city-school-district-selects-forefront-power-to-expand-solar-across-10-sites-in-23-megawatt-deal-through-spurr-300612525.html,,,,,,,,,,,,,,,,,,,,,,,
127,Baldwin Park Resident Owned Utility District [CCA],California,34.0854739,-117.9611761,California (CAISO),2021,2021,,Wind,Off-site Physical PPA,5.000,,15,,Baldwin Park Resident Owned Utility District [CCA],Community Choice Aggregation,Pattern Energy Group,Duran Mesa Wind (Corona Wind Project),Corona,New Mexico,2021,,https://cal-cca.org/wp-content/uploads/2021/11/CCA-Clean-Energy-PPAs-November-2021-2.pdf,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/pattern-energy-breaks-ground-on-1-gw-of-wind-projects-in-new-mexico-61958738,,,,,,,,,,,,,,,,,,,,,,
128,Bay Area Rapid Transit,California,37.6132525,-122.0410844,California (CAISO),2017,2017,12/15/2017,Wind,Off-site Physical PPA,30.000,,20,,Pacific Gas & Electric (PG&E),Investor-owned Utility,NextEra Energy Resources,Sky River Wind,Kern County,California,2021,"106,000",https://www.bart.gov/sustainability/energy-procurement,https://bart.legistar.com/LegislationDetail.aspx?ID=4646269&GUID=8BED7D02-C31B-446C-9A16-8CF508E87719&Options=&Search=,,,,,,,,,,,,,,,,,,,,,,
129,Bay Area Rapid Transit,California,37.6132525,-122.0410844,California (CAISO),2017,2017,12/07/2017,Solar,Off-site Physical PPA,50.500,,,,Pacific Gas & Electric (PG&E),Investor-owned Utility,Recurrent Energy,Slate Solar+Storage,Kings County,California,2022,,https://3cenergy.org/press_release/central-coast-community-energy-and-silicon-valley-clean-energy-commemorate-powering-on-first-new-renewable-energy-project/,https://recurrentenergy.com/offtakers/bay-area-rapid-transit/,https://www.bart.gov/sustainability/energy-procurement,https://recurrentenergy.com/bay-area-rapid-transit-signs-first-ever-utility-scale-solar-ppa-canadian-solar-subsidiary-recurrent-energy/,,"Joint purchase agreement co-signed by five California-based organizations: Bay Area Rapid Transit, Central Coast Community Energy, Silicon Valley Clean Energy, Stanford University and the Power and Water Resources Pooling Authority. With 46.5 MW battery storage. ",,,,,,,,,,,,,,,,,,
